time_ns,track_id,velocity_x,velocity_y,position_x,position_y,dynprop,rcs,dist_long_rms,vrel_long_rms,dist_lat_rms,vrel_lat_rms,arel_lat_rms,arel_long_rms,orientation_rms,meas_state,prob_of_existobject_type,acceleration_x,acceleration_y,orientation_angel,length,width,false_alarm,ambig_state,invalid_state
1604546789530149120,20,0.000000,0.000000,57.400002,13.400000,1,13.000000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789530624000,21,0.000000,0.000000,32.599998,-18.400000,1,3.500000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789531083008,22,0.000000,0.000000,72.199997,14.200000,1,11.000000,18,19,20,20,0,21,17,3,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789531589888,23,0.000000,0.000000,16.799999,-4.600000,1,1.500000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789532033024,24,0.000000,0.000000,64.000000,-3.400000,1,9.000000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789532496896,25,0.000000,0.000000,87.800003,14.000000,1,13.000000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789532972032,26,0.000000,0.000000,75.599998,23.200001,1,9.500000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789533434880,27,0.000000,0.250000,150.399994,15.800000,1,2.500000,20,19,21,23,0,22,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789533903104,28,0.000000,0.000000,210.199997,16.600000,1,33.000000,17,18,20,20,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789534369024,29,0.000000,0.000000,79.599998,13.600000,1,12.500000,16,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789534839040,30,0.000000,-0.250000,142.600006,14.600000,1,0.500000,18,19,20,20,0,21,17,2,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789535307008,31,0.000000,0.000000,64.199997,13.000000,1,11.500000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789535781888,32,0.000000,0.000000,90.800003,-0.800000,1,8.500000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789536243968,33,0.000000,0.000000,54.599998,13.200000,1,19.000000,16,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789536709120,34,0.000000,0.000000,202.800003,16.799999,1,30.500000,17,18,20,20,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789537172992,35,0.000000,0.000000,49.400002,12.600000,1,13.500000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789537647104,36,0.000000,0.000000,140.800003,-1.200000,1,4.500000,21,23,21,23,0,26,17,2,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789538106880,37,0.000000,0.000000,191.800003,16.600000,1,28.000000,17,17,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789538576896,38,0.000000,0.000000,84.400002,-2.200000,1,15.500000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789539035904,39,0.000000,0.250000,25.799999,-9.800000,1,-3.000000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789539503104,40,0.000000,-0.250000,169.800003,1.600000,1,22.000000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789539982080,41,0.000000,0.000000,128.600006,17.600000,1,-1.000000,18,18,20,20,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789540442112,42,0.000000,0.000000,39.000000,-9.200000,1,9.000000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789540910080,43,0.000000,0.250000,52.799999,13.800000,1,9.000000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789541376000,44,0.000000,0.000000,196.800003,0.600000,1,21.000000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789541841920,45,0.000000,0.000000,27.000000,21.400000,1,0.500000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789542307072,46,0.000000,0.000000,105.400002,14.600000,1,0.500000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789542768896,47,0.000000,0.000000,68.199997,13.400000,1,11.000000,16,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789543237888,48,0.000000,0.000000,86.400002,-2.400000,1,22.500000,16,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789543706112,49,0.000000,0.000000,73.800003,10.400000,1,19.000000,16,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789544172032,50,0.000000,0.000000,92.599998,-2.400000,1,12.000000,22,23,25,24,0,27,17,3,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789544636928,51,0.000000,0.000000,183.000000,16.600000,1,24.500000,17,17,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789545111040,52,0.000000,0.000000,231.399994,21.799999,1,7.000000,22,19,24,24,0,27,17,1,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789545584896,53,0.000000,-0.250000,133.399994,-2.000000,1,-0.500000,19,18,20,20,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789546072064,54,0.000000,0.000000,93.400002,14.000000,1,22.000000,17,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789546534912,55,0.000000,0.000000,213.600006,-0.600000,1,18.000000,17,17,19,20,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789546996992,56,0.000000,0.000000,40.400002,21.400000,1,28.500000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789547459072,57,0.000000,-0.250000,57.599998,-34.400002,1,15.000000,20,19,21,24,0,27,17,1,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789547928064,58,0.000000,0.000000,119.800003,-2.200000,1,16.000000,17,17,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789548386048,59,0.000000,0.000000,38.400002,18.600000,1,14.500000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789548850944,60,0.000000,0.000000,79.199997,38.000000,1,18.500000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789549318912,61,0.000000,0.000000,4.800000,-4.600000,1,-6.000000,17,18,18,19,0,21,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789549787904,62,0.000000,0.000000,96.199997,15.400000,1,-1.000000,20,20,20,23,0,24,17,2,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789550264064,63,0.000000,0.000000,13.200000,-4.600000,1,4.500000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789550713088,64,0.000000,0.250000,220.600006,1.800000,1,22.500000,18,18,20,21,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789551162880,65,0.000000,0.000000,151.399994,-2.000000,1,13.000000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789551607040,66,0.000000,0.250000,134.000000,16.799999,1,-1.000000,18,18,21,20,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789552054016,67,0.000000,0.000000,49.000000,-3.800000,1,10.000000,16,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789552502016,68,0.000000,0.000000,35.799999,22.400000,1,15.000000,18,19,19,19,0,21,17,2,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789552958976,69,0.000000,0.000000,76.000000,13.000000,1,9.000000,17,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789553403904,70,0.000000,0.000000,71.800003,-3.200000,1,11.500000,17,19,19,19,0,21,17,2,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789553857024,71,0.000000,-0.250000,52.799999,-3.400000,1,12.000000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789554313984,72,0.000000,0.000000,191.199997,0.200000,1,16.500000,18,19,20,20,0,21,17,3,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789554756096,73,0.000000,0.000000,16.000000,12.400000,1,6.500000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789555196928,74,0.000000,-0.250000,43.000000,22.200001,1,15.000000,18,18,19,19,0,21,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789555644928,75,0.000000,0.000000,237.399994,-13.000000,1,3.000000,20,19,21,24,0,27,17,1,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789556093952,76,0.000000,-1.500000,82.599998,-2.400000,1,11.000000,18,19,20,22,0,21,17,3,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789556532992,77,0.000000,0.000000,83.599998,13.800000,1,17.000000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789556992000,78,0.000000,0.000000,109.599998,-1.600000,1,0.000000,21,23,21,23,0,26,17,2,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789557446912,82,0.000000,0.000000,58.799999,-3.200000,1,13.500000,17,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789557895936,84,0.000000,0.000000,27.600000,-12.400000,1,0.500000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789558359040,86,0.000000,0.000000,21.200001,14.200000,1,7.500000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789558788096,88,0.000000,0.000000,37.400002,-12.800000,1,10.000000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789595750912,0,0.000000,0.250000,206.600006,0.800000,1,18.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789596209920,1,0.000000,0.000000,46.599998,-4.600000,1,8.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789596684032,2,0.000000,0.000000,123.800003,12.400000,6,11.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789597146112,3,0.000000,0.000000,187.199997,-1.000000,1,18.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789597618944,4,0.000000,0.500000,138.800003,18.799999,1,3.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789598103040,5,0.000000,0.000000,217.399994,16.600000,1,29.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789598554880,6,3.250000,0.250000,204.399994,8.000000,0,27.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789599023104,7,0.000000,0.000000,78.400002,-2.800000,1,15.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789599496960,8,0.000000,0.000000,20.799999,-6.200000,1,6.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789599993088,9,0.000000,0.000000,27.200001,27.400000,1,6.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789600434944,10,0.000000,0.000000,43.599998,-5.000000,1,10.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789600904960,11,0.000000,0.000000,69.599998,22.000000,1,8.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789601371904,12,0.000000,0.000000,67.199997,-3.000000,1,14.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789601844992,13,0.000000,-0.500000,156.600006,20.799999,1,6.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789602313984,14,0.000000,0.000000,37.599998,28.600000,1,16.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789602780928,15,0.000000,0.000000,120.599998,14.800000,1,14.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789603250944,16,0.000000,0.000000,88.400002,-2.200000,1,14.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789603716096,17,0.000000,0.000000,6.400000,-4.400000,1,2.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789604183040,18,0.000000,0.000000,59.799999,13.200000,1,12.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789604652032,19,0.000000,0.250000,113.400002,15.200000,1,0.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789605114112,20,0.000000,0.000000,57.400002,13.400000,1,13.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789605585920,21,0.000000,0.000000,32.599998,-18.400000,1,3.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789606052096,22,0.000000,-0.250000,72.199997,14.200000,1,11.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789606522112,23,0.000000,0.000000,16.799999,-4.600000,1,1.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789606991104,24,0.000000,0.000000,64.000000,-3.400000,1,9.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789607461888,25,0.000000,0.000000,87.800003,14.000000,1,13.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789607929088,26,0.000000,0.000000,75.599998,23.200001,1,9.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789608391936,27,0.000000,1.000000,151.000000,16.600000,1,4.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789608858880,28,0.000000,0.000000,210.199997,16.600000,1,33.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789609327104,29,0.000000,0.000000,79.599998,13.600000,1,12.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789609792000,30,0.000000,-0.250000,142.600006,14.400000,1,2.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789610264064,31,0.000000,0.000000,64.199997,13.000000,1,12.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789610735104,32,0.000000,0.000000,90.800003,-0.800000,1,8.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789611202048,33,0.000000,0.000000,54.599998,13.200000,1,19.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789611694080,34,0.000000,0.000000,202.800003,16.799999,1,30.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789612140032,35,0.000000,0.000000,49.400002,12.600000,1,13.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789612611072,37,0.000000,0.000000,191.800003,16.600000,1,28.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789613084928,38,0.000000,0.000000,84.400002,-2.200000,1,15.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789613544960,39,0.000000,0.000000,25.799999,-10.000000,1,-2.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789614014976,40,0.000000,0.000000,169.800003,1.600000,1,21.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789614477056,41,0.000000,0.000000,128.600006,17.600000,1,-1.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789614958080,42,0.000000,0.000000,39.000000,-9.200000,1,9.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789615437056,43,0.000000,0.250000,52.799999,13.800000,1,9.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789615860992,44,0.000000,0.000000,196.800003,0.600000,1,21.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789616328960,45,0.000000,0.000000,27.000000,21.400000,1,0.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789616796928,46,0.000000,0.000000,105.199997,14.600000,1,0.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789617242112,47,0.000000,0.000000,68.199997,13.400000,1,11.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789617693952,48,0.000000,0.000000,86.400002,-2.400000,1,22.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789618146048,49,0.000000,0.000000,73.800003,10.200000,1,18.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789618595072,50,0.000000,0.000000,92.599998,-2.400000,1,12.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789619047936,51,0.000000,0.000000,183.000000,16.600000,1,24.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789619502080,52,0.000000,0.250000,231.399994,21.799999,1,6.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789619950080,53,0.000000,-0.250000,133.399994,-2.000000,1,-0.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789620400896,54,0.000000,0.000000,93.400002,14.000000,1,22.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789620854016,55,0.000000,0.000000,213.600006,-0.600000,1,18.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789621300992,56,0.000000,0.000000,40.400002,21.400000,1,29.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789621762048,57,0.000000,-0.250000,57.599998,-34.400002,1,15.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789622196992,58,0.000000,0.000000,119.800003,-2.200000,1,16.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789622647040,59,0.000000,0.000000,38.400002,18.600000,1,15.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789623092992,60,0.000000,0.000000,79.199997,38.000000,1,18.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789623543040,61,0.000000,0.000000,4.800000,-4.600000,1,-6.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789623994112,62,0.000000,0.000000,96.199997,15.400000,1,-1.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789624448000,63,0.000000,0.000000,13.200000,-4.600000,1,4.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789624890112,64,0.000000,0.250000,220.600006,1.800000,1,23.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789625340928,65,0.000000,0.000000,151.399994,-2.000000,1,12.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789625782016,66,0.000000,0.250000,134.000000,16.799999,1,-1.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789626236928,67,0.000000,0.000000,49.000000,-3.800000,1,10.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789626705920,68,0.000000,0.000000,35.799999,22.400000,1,15.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789627128064,69,0.000000,0.000000,76.000000,13.000000,1,9.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789627575040,70,0.000000,0.000000,71.800003,-3.400000,1,11.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789628026112,71,0.000000,-0.250000,52.799999,-3.400000,1,12.500000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
