gps_time,x,y,z,ve(m/3),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2020-10-13-16-03-08-470,11723345.831196,3123918.108517,16.632013,0.785748,-0.786686,-0.005803,0.010591,-0.008095,2.349380
2020-10-13-16-03-08-480,11723345.838861,3123918.100559,16.631947,0.789213,-0.789776,-0.005587,0.011384,-0.008181,2.349404
2020-10-13-16-03-08-490,11723345.846670,3123918.092572,16.631966,0.793576,-0.792461,0.002527,0.011674,-0.008216,2.349424
2020-10-13-16-03-08-500,11723345.854525,3123918.084555,16.632049,0.797919,-0.794880,0.010818,0.011511,-0.008191,2.349437
2020-10-13-16-03-08-509,11723345.862419,3123918.076490,16.632126,0.802270,-0.799445,0.012567,0.010924,-0.008077,2.349456
2020-10-13-16-03-08-519,11723345.870250,3123918.068355,16.632027,0.806226,-0.806632,-0.003454,0.010495,-0.008042,2.349492
2020-10-13-16-03-08-529,11723345.878225,3123918.060175,16.631929,0.810031,-0.812142,-0.011249,0.010833,-0.008069,2.349526
2020-10-13-16-03-08-539,11723345.886235,3123918.051959,16.631863,0.813363,-0.815960,-0.009373,0.011531,-0.008158,2.349565
2020-10-13-16-03-08-549,11723345.894192,3123918.043741,16.631961,0.817725,-0.815963,0.009283,0.011597,-0.008171,2.349594
2020-10-13-16-03-08-559,11723345.902289,3123918.035483,16.632064,0.821839,-0.818567,0.015233,0.011029,-0.008071,2.349615
2020-10-13-16-03-08-569,11723345.910418,3123918.027184,16.632104,0.825146,-0.822911,0.008404,0.010258,-0.007983,2.349629
2020-10-13-16-03-08-579,11723345.918584,3123918.018820,16.632013,0.828447,-0.829195,-0.006734,0.009945,-0.007959,2.349667
2020-10-13-16-03-08-589,11723345.926790,3123918.010416,16.631850,0.832012,-0.834091,-0.017871,0.010560,-0.008012,2.349698
2020-10-13-16-03-08-599,11723345.934952,3123918.001996,16.631881,0.837691,-0.835687,-0.000405,0.011853,-0.008237,2.349714
2020-10-13-16-03-08-609,11723345.943252,3123917.993547,16.632003,0.841979,-0.837850,0.015610,0.011681,-0.008223,2.349742
2020-10-13-16-03-08-619,11723345.951597,3123917.985060,16.632142,0.846321,-0.841374,0.020641,0.010683,-0.008074,2.349772
2020-10-13-16-03-08-630,11723345.959871,3123917.976500,16.632027,0.849640,-0.848639,-0.004227,0.009915,-0.008018,2.349807
2020-10-13-16-03-08-640,11723345.968293,3123917.967896,16.631901,0.852993,-0.853662,-0.016081,0.010437,-0.008111,2.349835
2020-10-13-16-03-08-650,11723345.976746,3123917.959262,16.631799,0.856390,-0.857151,-0.014001,0.011506,-0.008275,2.349865
2020-10-13-16-03-08-660,11723345.985239,3123917.950617,16.631873,0.859954,-0.857834,0.004638,0.012177,-0.008393,2.349886
2020-10-13-16-03-08-670,11723345.993670,3123917.941958,16.632043,0.864444,-0.859160,0.018565,0.010684,-0.008162,2.349905
2020-10-13-16-03-08-680,11723346.002241,3123917.933240,16.632099,0.867970,-0.864304,0.008805,0.009737,-0.008074,2.349933
2020-10-13-16-03-08-690,11723346.010854,3123917.924458,16.632004,0.871900,-0.871112,-0.009511,0.009577,-0.008128,2.349971
2020-10-13-16-03-08-700,11723346.019495,3123917.915622,16.631836,0.874747,-0.877077,-0.020738,0.010561,-0.008263,2.349999
2020-10-13-16-03-08-710,11723346.028184,3123917.906765,16.631799,0.878729,-0.879659,-0.011565,0.011952,-0.008486,2.350024
2020-10-13-16-03-08-720,11723346.036819,3123917.897916,16.632083,0.883781,-0.879108,0.022462,0.011400,-0.008426,2.350061
2020-10-13-16-03-08-730,11723346.045593,3123917.889007,16.632242,0.887878,-0.882956,0.023496,0.010188,-0.008236,2.350105
2020-10-13-16-03-08-740,11723346.054401,3123917.880033,16.632226,0.891196,-0.889426,0.005215,0.009220,-0.008156,2.350153
2020-10-13-16-03-08-750,11723346.063245,3123917.870995,16.632044,0.894348,-0.896258,-0.016352,0.009501,-0.008281,2.350186
2020-10-13-16-03-08-759,11723346.072005,3123917.861938,16.632023,0.896867,-0.899035,-0.005234,0.011694,-0.008562,2.350209
2020-10-13-16-03-08-769,11723346.080912,3123917.852863,16.632155,0.900104,-0.900055,0.014804,0.011950,-0.008610,2.350233
2020-10-13-16-03-08-779,11723346.089854,3123917.843765,16.632386,0.903445,-0.901556,0.029068,0.011008,-0.008480,2.350275
2020-10-13-16-03-08-789,11723346.098744,3123917.834587,16.632355,0.908710,-0.909779,0.005072,0.009662,-0.008311,2.350310
2020-10-13-16-03-08-799,11723346.107770,3123917.825354,16.632295,0.911732,-0.916242,-0.009196,0.009975,-0.008421,2.350338
2020-10-13-16-03-08-809,11723346.116814,3123917.816078,16.632215,0.913796,-0.921213,-0.012256,0.011060,-0.008565,2.350369
2020-10-13-16-03-08-819,11723346.125892,3123917.806786,16.632279,0.916300,-0.922409,0.002216,0.011898,-0.008656,2.350406
2020-10-13-16-03-08-829,11723346.134992,3123917.797492,16.632497,0.918866,-0.922457,0.021391,0.011628,-0.008622,2.350438
2020-10-13-16-03-08-839,11723346.144077,3123917.788121,16.632568,0.926544,-0.928454,0.013544,0.009965,-0.008391,2.350456
2020-10-13-16-03-08-849,11723346.153288,3123917.778694,16.632561,0.930716,-0.935235,0.000389,0.009685,-0.008424,2.350478
2020-10-13-16-03-08-859,11723346.162514,3123917.769216,16.632482,0.931695,-0.940339,-0.009818,0.010243,-0.008492,2.350507
2020-10-13-16-03-08-869,11723346.171746,3123917.759719,16.632456,0.931987,-0.943105,-0.007552,0.011150,-0.008564,2.350543
2020-10-13-16-03-08-880,11723346.180952,3123917.750219,16.632630,0.938396,-0.943175,0.013306,0.011178,-0.008524,2.350555
2020-10-13-16-03-08-890,11723346.190320,3123917.740662,16.632763,0.945594,-0.947299,0.017735,0.010567,-0.008435,2.350574
2020-10-13-16-03-08-900,11723346.199718,3123917.731048,16.632831,0.949584,-0.953112,0.011709,0.009909,-0.008405,2.350597
2020-10-13-16-03-08-910,11723346.209128,3123917.721385,16.632796,0.950481,-0.958349,-0.000156,0.009754,-0.008421,2.350627
2020-10-13-16-03-08-920,11723346.218432,3123917.711712,16.632752,0.950013,-0.960031,-0.003138,0.010786,-0.008465,2.350650
2020-10-13-16-03-08-930,11723346.227918,3123917.702001,16.632789,0.955642,-0.962548,0.003318,0.011211,-0.008464,2.350661
2020-10-13-16-03-08-940,11723346.237472,3123917.692251,16.632900,0.962911,-0.966204,0.012450,0.011148,-0.008465,2.350675
2020-10-13-16-03-08-950,11723346.247065,3123917.682465,16.633028,0.967981,-0.969959,0.016538,0.010574,-0.008422,2.350689
2020-10-13-16-03-08-960,11723346.256525,3123917.672632,16.632991,0.966431,-0.974736,0.002601,0.009998,-0.008338,2.350722
2020-10-13-16-03-08-970,11723346.266148,3123917.662762,16.632940,0.968873,-0.978589,-0.006110,0.010250,-0.008336,2.350742
2020-10-13-16-03-08-980,11723346.275834,3123917.652842,16.632892,0.974978,-0.983446,-0.007502,0.010906,-0.008386,2.350760
2020-10-13-16-03-08-990,11723346.285581,3123917.642886,16.632939,0.981785,-0.987500,0.001301,0.011445,-0.008454,2.350776
2020-10-13-16-03-09-000,11723346.295237,3123917.632917,16.633075,0.984028,-0.989225,0.012798,0.010644,-0.008361,2.350818
2020-10-13-16-03-09-009,11723346.305023,3123917.622906,16.633119,0.985744,-0.992338,0.007789,0.010064,-0.008280,2.350854
2020-10-13-16-03-09-019,11723346.314848,3123917.612848,16.633064,0.988656,-0.996482,-0.003600,0.009925,-0.008259,2.350872
2020-10-13-16-03-09-029,11723346.324712,3123917.602733,16.632956,0.992957,-1.002718,-0.011944,0.010474,-0.008303,2.350881
2020-10-13-16-03-09-039,11723346.334343,3123917.592577,16.633056,0.997945,-1.005021,0.001930,0.011281,-0.008411,2.350904
2020-10-13-16-03-09-049,11723346.344178,3123917.582404,16.633176,1.001483,-1.006962,0.010784,0.011025,-0.008365,2.350941
2020-10-13-16-03-09-059,11723346.354039,3123917.572200,16.633275,1.004108,-1.009671,0.010589,0.010350,-0.008269,2.350967
2020-10-13-16-03-09-069,11723346.363947,3123917.561929,16.633271,1.008051,-1.015638,0.000708,0.009901,-0.008228,2.350989
2020-10-13-16-03-09-079,11723346.373787,3123917.551586,16.633227,1.012520,-1.022262,-0.007230,0.010819,-0.008331,2.351014
2020-10-13-16-03-09-089,11723346.383768,3123917.541243,16.633261,1.015718,-1.024545,-0.001284,0.011271,-0.008365,2.351054
2020-10-13-16-03-09-099,11723346.393778,3123917.530881,16.633364,1.018284,-1.026065,0.007343,0.011192,-0.008338,2.351100
2020-10-13-16-03-09-109,11723346.403840,3123917.520484,16.633472,1.022452,-1.028346,0.010528,0.010647,-0.008283,2.351135
2020-10-13-16-03-09-119,11723346.413827,3123917.510001,16.633457,1.027114,-1.035752,-0.001531,0.010379,-0.008254,2.351150
2020-10-13-16-03-09-130,11723346.423946,3123917.499503,16.633449,1.029171,-1.039898,-0.005155,0.010696,-0.008279,2.351193
2020-10-13-16-03-09-140,11723346.434093,3123917.488984,16.633472,1.031312,-1.041968,-0.002693,0.011140,-0.008294,2.351247
2020-10-13-16-03-09-150,11723346.444289,3123917.478445,16.633565,1.035333,-1.043285,0.004695,0.011317,-0.008278,2.351271
2020-10-13-16-03-09-160,11723346.454433,3123917.467837,16.633684,1.041833,-1.048386,0.007639,0.010674,-0.008210,2.351296
2020-10-13-16-03-09-170,11723346.464713,3123917.457196,16.633732,1.045210,-1.053843,0.003017,0.010397,-0.008149,2.351346
2020-10-13-16-03-09-180,11723346.475015,3123917.446519,16.633736,1.046881,-1.057466,-0.002586,0.010469,-0.008124,2.351411
2020-10-13-16-03-09-190,11723346.485240,3123917.435810,16.633787,1.050474,-1.059685,0.000167,0.011116,-0.008159,2.351430
2020-10-13-16-03-09-200,11723346.495628,3123917.425068,16.633874,1.055104,-1.063417,0.006941,0.011224,-0.008144,2.351449
2020-10-13-16-03-09-210,11723346.506054,3123917.414280,16.634006,1.058859,-1.067968,0.012530,0.010927,-0.008080,2.351494
2020-10-13-16-03-09-220,11723346.516512,3123917.403456,16.634111,1.061617,-1.071512,0.010749,0.010467,-0.007965,2.351548
2020-10-13-16-03-09-230,11723346.526989,3123917.392599,16.634136,1.063712,-1.075036,0.002617,0.010281,-0.007937,2.351583
2020-10-13-16-03-09-240,11723346.537406,3123917.381678,16.634175,1.068470,-1.080467,-0.000106,0.010980,-0.007962,2.351590
2020-10-13-16-03-09-250,11723346.547978,3123917.370724,16.634265,1.072517,-1.084617,0.005493,0.011216,-0.007968,2.351625
2020-10-13-16-03-09-259,11723346.558572,3123917.359744,16.634399,1.075035,-1.087637,0.011397,0.011137,-0.007916,2.351673
2020-10-13-16-03-09-269,11723346.569094,3123917.348727,16.634525,1.078798,-1.089868,0.009554,0.010649,-0.007854,2.351686
2020-10-13-16-03-09-279,11723346.579769,3123917.337666,16.634608,1.082584,-1.094893,0.005439,0.010509,-0.007836,2.351696
2020-10-13-16-03-09-289,11723346.590470,3123917.326559,16.634662,1.085150,-1.100037,0.001709,0.010670,-0.007818,2.351735
2020-10-13-16-03-09-299,11723346.601186,3123917.315418,16.634725,1.086623,-1.103739,0.002006,0.011027,-0.007834,2.351776
2020-10-13-16-03-09-309,11723346.611852,3123917.304257,16.634878,1.091869,-1.104410,0.009658,0.011108,-0.007826,2.351780
2020-10-13-16-03-09-319,11723346.622670,3123917.293057,16.635008,1.096585,-1.108334,0.011807,0.010841,-0.007824,2.351783
2020-10-13-16-03-09-329,11723346.633512,3123917.281808,16.635110,1.099401,-1.113988,0.008908,0.010517,-0.007781,2.351805
2020-10-13-16-03-09-339,11723346.644383,3123917.270510,16.635161,1.101500,-1.118783,0.002883,0.010444,-0.007756,2.351859
2020-10-13-16-03-09-349,11723346.655284,3123917.259195,16.635175,1.104179,-1.121159,-0.002192,0.010778,-0.007787,2.351892
2020-10-13-16-03-09-359,11723346.666147,3123917.247839,16.635297,1.110985,-1.123620,0.005338,0.011229,-0.007855,2.351880
2020-10-13-16-03-09-369,11723346.677150,3123917.236437,16.635408,1.114335,-1.128113,0.009474,0.011008,-0.007850,2.351909
2020-10-13-16-03-09-380,11723346.688173,3123917.225008,16.635496,1.117018,-1.132115,0.008149,0.010599,-0.007778,2.351960
2020-10-13-16-03-09-390,11723346.699235,3123917.213542,16.635502,1.119951,-1.135340,0.000229,0.010411,-0.007757,2.351992
2020-10-13-16-03-09-400,11723346.710231,3123917.202040,16.635507,1.124704,-1.138563,-0.003677,0.010952,-0.007865,2.351975
2020-10-13-16-03-09-410,11723346.721381,3123917.190493,16.635534,1.128195,-1.142707,-0.000976,0.011124,-0.007886,2.352007
2020-10-13-16-03-09-420,11723346.732550,3123917.178922,16.635579,1.130701,-1.145913,0.001883,0.011069,-0.007875,2.352049
2020-10-13-16-03-09-430,11723346.743667,3123917.167314,16.635622,1.136202,-1.147976,0.000481,0.010833,-0.007871,2.352051
2020-10-13-16-03-09-440,11723346.754924,3123917.155682,16.635624,1.139487,-1.151649,-0.002724,0.010683,-0.007905,2.352062
2020-10-13-16-03-09-450,11723346.766209,3123917.144004,16.635603,1.141596,-1.155981,-0.005452,0.010669,-0.007874,2.352103
2020-10-13-16-03-09-460,11723346.777517,3123917.132289,16.635559,1.143449,-1.159903,-0.007939,0.010923,-0.007891,2.352153
2020-10-13-16-03-09-470,11723346.788876,3123917.120555,16.635543,1.147675,-1.161987,-0.005943,0.011277,-0.007982,2.352164
2020-10-13-16-03-09-480,11723346.800170,3123917.108786,16.635638,1.152758,-1.164161,0.003133,0.011020,-0.007962,2.352176
2020-10-13-16-03-09-490,11723346.811583,3123917.096995,16.635665,1.154672,-1.167576,0.002023,0.010691,-0.007929,2.352220
2020-10-13-16-03-09-500,11723346.823030,3123917.085156,16.635661,1.156747,-1.171634,-0.001771,0.010663,-0.007899,2.352267
2020-10-13-16-03-09-509,11723346.834525,3123917.073296,16.635652,1.161143,-1.174406,-0.003604,0.010961,-0.007968,2.352278
2020-10-13-16-03-09-519,11723346.845924,3123917.061396,16.635745,1.163547,-1.177097,0.004002,0.011129,-0.007993,2.352310
2020-10-13-16-03-09-529,11723346.857467,3123917.049474,16.635826,1.166159,-1.180153,0.007234,0.011024,-0.007940,2.352379
2020-10-13-16-03-09-539,11723346.869056,3123917.037523,16.635910,1.170250,-1.182848,0.007862,0.010890,-0.007951,2.352418
2020-10-13-16-03-09-549,11723346.880566,3123917.025527,16.636014,1.174124,-1.186439,0.007658,0.010834,-0.007952,2.352421
2020-10-13-16-03-09-559,11723346.892204,3123917.013504,16.636110,1.175409,-1.190530,0.007770,0.010757,-0.007925,2.352465
2020-10-13-16-03-09-569,11723346.903875,3123917.001434,16.636207,1.177856,-1.194860,0.007668,0.010806,-0.007857,2.352534
2020-10-13-16-03-09-579,11723346.915600,3123916.989346,16.636315,1.183774,-1.197660,0.008600,0.010986,-0.007858,2.352576
2020-10-13-16-03-09-589,11723346.927382,3123916.977214,16.636456,1.188968,-1.200602,0.011611,0.011021,-0.007913,2.352580
2020-10-13-16-03-09-599,11723346.939030,3123916.965038,16.636637,1.188656,-1.204665,0.013813,0.010531,-0.007802,2.352650
2020-10-13-16-03-09-609,11723346.950836,3123916.952837,16.636749,1.191209,-1.208137,0.009623,0.010392,-0.007770,2.352709
2020-10-13-16-03-09-619,11723346.962692,3123916.940602,16.636840,1.195762,-1.211262,0.006381,0.010545,-0.007741,2.352733
2020-10-13-16-03-09-630,11723346.974470,3123916.928327,16.636997,1.199417,-1.214006,0.010506,0.010632,-0.007785,2.352756
2020-10-13-16-03-09-640,11723346.986370,3123916.916033,16.637133,1.200919,-1.217467,0.012082,0.010529,-0.007732,2.352816
2020-10-13-16-03-09-650,11723346.998314,3123916.903708,16.637271,1.204263,-1.220021,0.012245,0.010440,-0.007689,2.352867
2020-10-13-16-03-09-660,11723347.010301,3123916.891358,16.637391,1.208775,-1.222524,0.010470,0.010317,-0.007699,2.352878
2020-10-13-16-03-09-670,11723347.022188,3123916.878958,16.637509,1.210341,-1.226391,0.007804,0.010145,-0.007659,2.352913
2020-10-13-16-03-09-680,11723347.034218,3123916.866533,16.637590,1.212879,-1.230272,0.005008,0.010202,-0.007664,2.352968
2020-10-13-16-03-09-690,11723347.046286,3123916.854077,16.637674,1.216752,-1.233521,0.005206,0.010417,-0.007691,2.352998
2020-10-13-16-03-09-700,11723347.058399,3123916.841595,16.637802,1.220954,-1.235674,0.009785,0.010451,-0.007720,2.353010
2020-10-13-16-03-09-710,11723347.070534,3123916.829088,16.637944,1.223469,-1.237894,0.012692,0.010135,-0.007692,2.353039
2020-10-13-16-03-09-720,11723347.082560,3123916.816519,16.638028,1.225000,-1.242844,0.006546,0.009889,-0.007642,2.353097
2020-10-13-16-03-09-730,11723347.094759,3123916.803927,16.638088,1.228973,-1.246527,0.003146,0.009958,-0.007664,2.353124
2020-10-13-16-03-09-740,11723347.106991,3123916.791314,16.638146,1.232877,-1.249167,0.002297,0.010006,-0.007698,2.353150
2020-10-13-16-03-09-750,11723347.119232,3123916.778665,16.638210,1.234176,-1.252320,0.002977,0.010035,-0.007721,2.353188
2020-10-13-16-03-09-759,11723347.131405,3123916.765968,16.638331,1.238101,-1.255680,0.007268,0.010056,-0.007695,2.353215
2020-10-13-16-03-09-769,11723347.143729,3123916.753262,16.638415,1.241843,-1.258164,0.007110,0.009784,-0.007684,2.353238
2020-10-13-16-03-09-779,11723347.156079,3123916.740515,16.638460,1.244158,-1.261524,0.003194,0.009492,-0.007655,2.353268
2020-10-13-16-03-09-789,11723347.168342,3123916.727710,16.638487,1.246997,-1.266319,-0.000761,0.009845,-0.007716,2.353303
2020-10-13-16-03-09-799,11723347.180757,3123916.714889,16.638530,1.250198,-1.269502,0.001782,0.010076,-0.007751,2.353321
2020-10-13-16-03-09-809,11723347.193202,3123916.702057,16.638612,1.253528,-1.270789,0.006471,0.010020,-0.007712,2.353348
2020-10-13-16-03-09-819,11723347.205669,3123916.689195,16.638686,1.255322,-1.272834,0.006952,0.009681,-0.007688,2.353380
2020-10-13-16-03-09-829,11723347.218163,3123916.676285,16.638737,1.257693,-1.277308,0.004729,0.009531,-0.007681,2.353413
2020-10-13-16-03-09-839,11723347.230592,3123916.663335,16.638797,1.261844,-1.280692,0.002977,0.009769,-0.007688,2.353415
2020-10-13-16-03-09-849,11723347.243143,3123916.650377,16.638852,1.263527,-1.283042,0.003329,0.009825,-0.007681,2.353439
2020-10-13-16-03-09-859,11723347.255714,3123916.637386,16.638930,1.264926,-1.285925,0.005643,0.009949,-0.007695,2.353463
2020-10-13-16-03-09-869,11723347.268329,3123916.624362,16.639042,1.268325,-1.288943,0.009333,0.010055,-0.007720,2.353471
2020-10-13-16-03-09-880,11723347.280863,3123916.611292,16.639185,1.272370,-1.292482,0.011391,0.009816,-0.007609,2.353506
2020-10-13-16-03-09-890,11723347.293525,3123916.598211,16.639282,1.274264,-1.295419,0.008677,0.009742,-0.007635,2.353528
2020-10-13-16-03-09-900,11723347.306213,3123916.585086,16.639390,1.276065,-1.299143,0.008709,0.009890,-0.007653,2.353538
2020-10-13-16-03-09-910,11723347.318810,3123916.571929,16.639547,1.278531,-1.301762,0.011725,0.010059,-0.007645,2.353565
2020-10-13-16-03-09-920,11723347.331554,3123916.558754,16.639688,1.281662,-1.304437,0.012883,0.010058,-0.007595,2.353602
2020-10-13-16-03-09-930,11723347.344329,3123916.545544,16.639838,1.284487,-1.307606,0.013805,0.010096,-0.007628,2.353621
2020-10-13-16-03-09-940,11723347.357126,3123916.532307,16.640007,1.286675,-1.310280,0.015600,0.010138,-0.007692,2.353625
2020-10-13-16-03-09-950,11723347.369931,3123916.519049,16.640179,1.287953,-1.312952,0.016234,0.010137,-0.007627,2.353656
2020-10-13-16-03-09-960,11723347.382659,3123916.505740,16.640326,1.290341,-1.316348,0.012439,0.010159,-0.007645,2.353704
2020-10-13-16-03-09-970,11723347.395527,3123916.492407,16.640481,1.292917,-1.319896,0.013209,0.010325,-0.007674,2.353724
2020-10-13-16-03-09-980,11723347.408421,3123916.479049,16.640654,1.295726,-1.322623,0.015256,0.010453,-0.007680,2.353751
2020-10-13-16-03-09-990,11723347.421345,3123916.465670,16.640822,1.298708,-1.324762,0.015618,0.010430,-0.007690,2.353780
2020-10-13-16-03-10-000,11723347.434173,3123916.452241,16.640987,1.300528,-1.328345,0.013742,0.010338,-0.007663,2.353804
2020-10-13-16-03-10-009,11723347.447146,3123916.438790,16.641125,1.303315,-1.331846,0.011844,0.010368,-0.007676,2.353832
2020-10-13-16-03-10-019,11723347.460152,3123916.425305,16.641242,1.306719,-1.335475,0.009419,0.010539,-0.007644,2.353867
2020-10-13-16-03-10-029,11723347.473083,3123916.411788,16.641382,1.310302,-1.337495,0.009863,0.010624,-0.007677,2.353900
2020-10-13-16-03-10-039,11723347.486032,3123916.398309,16.641455,1.312928,-1.340856,0.009013,0.010551,-0.007662,2.353934
2020-10-13-16-03-10-049,11723347.499072,3123916.384785,16.641502,1.316033,-1.344128,0.005893,0.010512,-0.007637,2.353969
2020-10-13-16-03-10-059,11723347.512151,3123916.371232,16.641518,1.319901,-1.347182,0.002257,0.010604,-0.007631,2.354002
2020-10-13-16-03-10-069,11723347.525268,3123916.357648,16.641527,1.323598,-1.350021,0.000874,0.010769,-0.007635,2.354042
2020-10-13-16-03-10-079,11723347.538301,3123916.344070,16.641536,1.325008,-1.351415,0.001712,0.010780,-0.007633,2.354093
2020-10-13-16-03-10-089,11723347.551462,3123916.330449,16.641535,1.327885,-1.353507,0.001081,0.010836,-0.007622,2.354126
2020-10-13-16-03-10-099,11723347.564671,3123916.316796,16.641539,1.331578,-1.355699,0.001397,0.010829,-0.007623,2.354163
2020-10-13-16-03-10-109,11723347.577897,3123916.303117,16.641528,1.334259,-1.358779,0.000472,0.010764,-0.007612,2.354194
