gps_time,x,y,z,ve(m/3),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2020-10-13-16-03-08-759,-1779.373902,-2369.614740,15.942063,0.896867,-0.899035,-0.005234,0.011694,-0.008562,2.350209
2020-10-13-16-03-08-769,-1779.365046,-2369.623722,15.942194,0.900104,-0.900055,0.014804,0.011950,-0.008610,2.350233
2020-10-13-16-03-08-779,-1779.356155,-2369.632726,15.942424,0.903445,-0.901556,0.029068,0.011008,-0.008480,2.350275
2020-10-13-16-03-08-789,-1779.347315,-2369.641810,15.942392,0.908710,-0.909779,0.005072,0.009662,-0.008311,2.350310
2020-10-13-16-03-08-799,-1779.338341,-2369.650948,15.942331,0.911732,-0.916242,-0.009196,0.009975,-0.008421,2.350338
2020-10-13-16-03-08-809,-1779.329348,-2369.660129,15.942250,0.913796,-0.921213,-0.012256,0.011060,-0.008565,2.350369
2020-10-13-16-03-08-819,-1779.320322,-2369.669325,15.942313,0.916300,-0.922409,0.002216,0.011898,-0.008656,2.350406
2020-10-13-16-03-08-829,-1779.311274,-2369.678524,15.942530,0.918866,-0.922457,0.021391,0.011628,-0.008622,2.350438
2020-10-13-16-03-08-839,-1779.302240,-2369.687799,15.942601,0.926544,-0.928454,0.013544,0.009965,-0.008391,2.350456
2020-10-13-16-03-08-849,-1779.293081,-2369.697129,15.942593,0.930716,-0.935235,0.000389,0.009685,-0.008424,2.350478
2020-10-13-16-03-08-859,-1779.283908,-2369.706509,15.942512,0.931695,-0.940339,-0.009818,0.010243,-0.008492,2.350507
2020-10-13-16-03-08-869,-1779.274729,-2369.715909,15.942485,0.931987,-0.943105,-0.007552,0.011150,-0.008564,2.350543
2020-10-13-16-03-08-880,-1779.265575,-2369.725312,15.942659,0.938396,-0.943175,0.013306,0.011178,-0.008524,2.350555
2020-10-13-16-03-08-890,-1779.256261,-2369.734771,15.942791,0.945594,-0.947299,0.017735,0.010567,-0.008435,2.350574
2020-10-13-16-03-08-900,-1779.246916,-2369.744285,15.942858,0.949584,-0.953112,0.011709,0.009909,-0.008405,2.350597
2020-10-13-16-03-08-910,-1779.237559,-2369.753850,15.942822,0.950481,-0.958349,-0.000156,0.009754,-0.008421,2.350627
2020-10-13-16-03-08-920,-1779.228308,-2369.763424,15.942777,0.950013,-0.960031,-0.003138,0.010786,-0.008465,2.350650
2020-10-13-16-03-08-930,-1779.218876,-2369.773034,15.942813,0.955642,-0.962548,0.003318,0.011211,-0.008464,2.350661
2020-10-13-16-03-08-940,-1779.209377,-2369.782685,15.942924,0.962911,-0.966204,0.012450,0.011148,-0.008465,2.350675
2020-10-13-16-03-08-950,-1779.199838,-2369.792370,15.943050,0.967981,-0.969959,0.016538,0.010574,-0.008422,2.350689
2020-10-13-16-03-08-960,-1779.190432,-2369.802101,15.943012,0.966431,-0.974736,0.002601,0.009998,-0.008338,2.350722
2020-10-13-16-03-08-970,-1779.180864,-2369.811870,15.942960,0.968873,-0.978589,-0.006110,0.010250,-0.008336,2.350742
2020-10-13-16-03-08-980,-1779.171233,-2369.821688,15.942911,0.974978,-0.983446,-0.007502,0.010906,-0.008386,2.350760
2020-10-13-16-03-08-990,-1779.161541,-2369.831542,15.942957,0.981785,-0.987500,0.001301,0.011445,-0.008454,2.350776
2020-10-13-16-03-09-000,-1779.151940,-2369.841409,15.943092,0.984028,-0.989225,0.012798,0.010644,-0.008361,2.350818
2020-10-13-16-03-09-009,-1779.142210,-2369.851317,15.943135,0.985744,-0.992338,0.007789,0.010064,-0.008280,2.350854
2020-10-13-16-03-09-019,-1779.132441,-2369.861271,15.943080,0.988656,-0.996482,-0.003600,0.009925,-0.008259,2.350872
2020-10-13-16-03-09-029,-1779.122634,-2369.871283,15.942970,0.992957,-1.002718,-0.011944,0.010474,-0.008303,2.350881
2020-10-13-16-03-09-039,-1779.113057,-2369.881335,15.943069,0.997945,-1.005021,0.001930,0.011281,-0.008411,2.350904
2020-10-13-16-03-09-049,-1779.103278,-2369.891403,15.943188,1.001483,-1.006962,0.010784,0.011025,-0.008365,2.350941
2020-10-13-16-03-09-059,-1779.093473,-2369.901502,15.943286,1.004108,-1.009671,0.010589,0.010350,-0.008269,2.350967
2020-10-13-16-03-09-069,-1779.083622,-2369.911668,15.943281,1.008051,-1.015638,0.000708,0.009901,-0.008228,2.350989
2020-10-13-16-03-09-079,-1779.073838,-2369.921904,15.943236,1.012520,-1.022262,-0.007230,0.010819,-0.008331,2.351014
2020-10-13-16-03-09-089,-1779.063913,-2369.932141,15.943269,1.015718,-1.024545,-0.001284,0.011271,-0.008365,2.351054
2020-10-13-16-03-09-099,-1779.053961,-2369.942397,15.943371,1.018284,-1.026065,0.007343,0.011192,-0.008338,2.351100
2020-10-13-16-03-09-109,-1779.043956,-2369.952687,15.943478,1.022452,-1.028346,0.010528,0.010647,-0.008283,2.351135
2020-10-13-16-03-09-119,-1779.034026,-2369.963063,15.943462,1.027114,-1.035752,-0.001531,0.010379,-0.008254,2.351150
2020-10-13-16-03-09-130,-1779.023964,-2369.973452,15.943453,1.029171,-1.039898,-0.005155,0.010696,-0.008279,2.351193
2020-10-13-16-03-09-140,-1779.013875,-2369.983863,15.943475,1.031312,-1.041968,-0.002693,0.011140,-0.008294,2.351247
2020-10-13-16-03-09-150,-1779.003737,-2369.994294,15.943566,1.035333,-1.043285,0.004695,0.011317,-0.008278,2.351271
2020-10-13-16-03-09-160,-1778.993650,-2370.004793,15.943685,1.041833,-1.048386,0.007639,0.010674,-0.008210,2.351296
2020-10-13-16-03-09-170,-1778.983429,-2370.015325,15.943731,1.045210,-1.053843,0.003017,0.010397,-0.008149,2.351346
2020-10-13-16-03-09-180,-1778.973186,-2370.025892,15.943734,1.046881,-1.057466,-0.002586,0.010469,-0.008124,2.351411
2020-10-13-16-03-09-190,-1778.963019,-2370.036492,15.943784,1.050474,-1.059685,0.000167,0.011116,-0.008159,2.351430
2020-10-13-16-03-09-200,-1778.952691,-2370.047123,15.943870,1.055104,-1.063417,0.006941,0.011224,-0.008144,2.351449
2020-10-13-16-03-09-210,-1778.942323,-2370.057800,15.944001,1.058859,-1.067968,0.012530,0.010927,-0.008080,2.351494
2020-10-13-16-03-09-220,-1778.931925,-2370.068513,15.944104,1.061617,-1.071512,0.010749,0.010467,-0.007965,2.351548
2020-10-13-16-03-09-230,-1778.921507,-2370.079258,15.944129,1.063712,-1.075036,0.002617,0.010281,-0.007937,2.351583
2020-10-13-16-03-09-240,-1778.911150,-2370.090067,15.944167,1.068470,-1.080467,-0.000106,0.010980,-0.007962,2.351590
2020-10-13-16-03-09-250,-1778.900638,-2370.100908,15.944255,1.072517,-1.084617,0.005493,0.011216,-0.007968,2.351625
2020-10-13-16-03-09-259,-1778.890105,-2370.111776,15.944388,1.075035,-1.087637,0.011397,0.011137,-0.007916,2.351673
2020-10-13-16-03-09-269,-1778.879642,-2370.122680,15.944513,1.078798,-1.089868,0.009554,0.010649,-0.007854,2.351686
2020-10-13-16-03-09-279,-1778.869028,-2370.133627,15.944595,1.082584,-1.094893,0.005439,0.010509,-0.007836,2.351696
2020-10-13-16-03-09-289,-1778.858388,-2370.144620,15.944648,1.085150,-1.100037,0.001709,0.010670,-0.007818,2.351735
2020-10-13-16-03-09-299,-1778.847733,-2370.155647,15.944710,1.086623,-1.103739,0.002006,0.011027,-0.007834,2.351776
2020-10-13-16-03-09-309,-1778.837128,-2370.166693,15.944861,1.091869,-1.104410,0.009658,0.011108,-0.007826,2.351780
2020-10-13-16-03-09-319,-1778.826371,-2370.177778,15.944990,1.096585,-1.108334,0.011807,0.010841,-0.007824,2.351783
2020-10-13-16-03-09-329,-1778.815591,-2370.188912,15.945092,1.099401,-1.113988,0.008908,0.010517,-0.007781,2.351805
2020-10-13-16-03-09-339,-1778.804782,-2370.200094,15.945141,1.101500,-1.118783,0.002883,0.010444,-0.007756,2.351859
2020-10-13-16-03-09-349,-1778.793943,-2370.211292,15.945154,1.104179,-1.121159,-0.002192,0.010778,-0.007787,2.351892
2020-10-13-16-03-09-359,-1778.783142,-2370.222532,15.945275,1.110985,-1.123620,0.005338,0.011229,-0.007855,2.351880
2020-10-13-16-03-09-369,-1778.772202,-2370.233816,15.945385,1.114335,-1.128113,0.009474,0.011008,-0.007850,2.351909
2020-10-13-16-03-09-380,-1778.761242,-2370.245128,15.945472,1.117018,-1.132115,0.008149,0.010599,-0.007778,2.351960
2020-10-13-16-03-09-390,-1778.750242,-2370.256476,15.945477,1.119951,-1.135340,0.000229,0.010411,-0.007757,2.351992
2020-10-13-16-03-09-400,-1778.739309,-2370.267861,15.945480,1.124704,-1.138563,-0.003677,0.010952,-0.007865,2.351975
2020-10-13-16-03-09-410,-1778.728222,-2370.279289,15.945506,1.128195,-1.142707,-0.000976,0.011124,-0.007886,2.352007
2020-10-13-16-03-09-420,-1778.717117,-2370.290741,15.945550,1.130701,-1.145913,0.001883,0.011069,-0.007875,2.352049
2020-10-13-16-03-09-430,-1778.706063,-2370.302229,15.945591,1.136202,-1.147976,0.000481,0.010833,-0.007871,2.352051
2020-10-13-16-03-09-440,-1778.694870,-2370.313742,15.945592,1.139487,-1.151649,-0.002724,0.010683,-0.007905,2.352062
2020-10-13-16-03-09-450,-1778.683649,-2370.325300,15.945570,1.141596,-1.155981,-0.005452,0.010669,-0.007874,2.352103
2020-10-13-16-03-09-460,-1778.672406,-2370.336894,15.945525,1.143449,-1.159903,-0.007939,0.010923,-0.007891,2.352153
2020-10-13-16-03-09-470,-1778.661111,-2370.348508,15.945508,1.147675,-1.161987,-0.005943,0.011277,-0.007982,2.352164
2020-10-13-16-03-09-480,-1778.649882,-2370.360156,15.945601,1.152758,-1.164161,0.003133,0.011020,-0.007962,2.352176
2020-10-13-16-03-09-490,-1778.638533,-2370.371827,15.945627,1.154672,-1.167576,0.002023,0.010691,-0.007929,2.352220
2020-10-13-16-03-09-500,-1778.627152,-2370.383544,15.945622,1.156747,-1.171634,-0.001771,0.010663,-0.007899,2.352267
2020-10-13-16-03-09-509,-1778.615722,-2370.395281,15.945612,1.161143,-1.174406,-0.003604,0.010961,-0.007968,2.352278
2020-10-13-16-03-09-519,-1778.604388,-2370.407059,15.945704,1.163547,-1.177097,0.004002,0.011129,-0.007993,2.352310
2020-10-13-16-03-09-529,-1778.592911,-2370.418859,15.945783,1.166159,-1.180153,0.007234,0.011024,-0.007940,2.352379
2020-10-13-16-03-09-539,-1778.581388,-2370.430687,15.945866,1.170250,-1.182848,0.007862,0.010890,-0.007951,2.352418
2020-10-13-16-03-09-549,-1778.569943,-2370.442560,15.945969,1.174124,-1.186439,0.007658,0.010834,-0.007952,2.352421
2020-10-13-16-03-09-559,-1778.558372,-2370.454460,15.946064,1.175409,-1.190530,0.007770,0.010757,-0.007925,2.352465
2020-10-13-16-03-09-569,-1778.546767,-2370.466406,15.946160,1.177856,-1.194860,0.007668,0.010806,-0.007857,2.352534
2020-10-13-16-03-09-579,-1778.535109,-2370.478369,15.946267,1.183774,-1.197660,0.008600,0.010986,-0.007858,2.352576
2020-10-13-16-03-09-589,-1778.523394,-2370.490377,15.946406,1.188968,-1.200602,0.011611,0.011021,-0.007913,2.352580
2020-10-13-16-03-09-599,-1778.511813,-2370.502428,15.946586,1.188656,-1.204665,0.013813,0.010531,-0.007802,2.352650
2020-10-13-16-03-09-609,-1778.500074,-2370.514504,15.946697,1.191209,-1.208137,0.009623,0.010392,-0.007770,2.352709
2020-10-13-16-03-09-619,-1778.488285,-2370.526613,15.946787,1.195762,-1.211262,0.006381,0.010545,-0.007741,2.352733
2020-10-13-16-03-09-630,-1778.476574,-2370.538762,15.946942,1.199417,-1.214006,0.010506,0.010632,-0.007785,2.352756
2020-10-13-16-03-09-640,-1778.464742,-2370.550929,15.947077,1.200919,-1.217467,0.012082,0.010529,-0.007732,2.352816
2020-10-13-16-03-09-650,-1778.452866,-2370.563128,15.947213,1.204263,-1.220021,0.012245,0.010440,-0.007689,2.352867
2020-10-13-16-03-09-660,-1778.440947,-2370.575352,15.947332,1.208775,-1.222524,0.010470,0.010317,-0.007699,2.352878
2020-10-13-16-03-09-670,-1778.429128,-2370.587624,15.947449,1.210341,-1.226391,0.007804,0.010145,-0.007659,2.352913
2020-10-13-16-03-09-680,-1778.417166,-2370.599921,15.947529,1.212879,-1.230272,0.005008,0.010202,-0.007664,2.352968
2020-10-13-16-03-09-690,-1778.405167,-2370.612249,15.947611,1.216752,-1.233521,0.005206,0.010417,-0.007691,2.352998
2020-10-13-16-03-09-700,-1778.393122,-2370.624603,15.947738,1.220954,-1.235674,0.009785,0.010451,-0.007720,2.353010
2020-10-13-16-03-09-710,-1778.381057,-2370.636982,15.947879,1.223469,-1.237894,0.012692,0.010135,-0.007692,2.353039
2020-10-13-16-03-09-720,-1778.369099,-2370.649421,15.947961,1.225000,-1.242844,0.006546,0.009889,-0.007642,2.353097
2020-10-13-16-03-09-730,-1778.356970,-2370.661884,15.948021,1.228973,-1.246527,0.003146,0.009958,-0.007664,2.353124
2020-10-13-16-03-09-740,-1778.344807,-2370.674368,15.948077,1.232877,-1.249167,0.002297,0.010006,-0.007698,2.353150
2020-10-13-16-03-09-750,-1778.332637,-2370.686887,15.948139,1.234176,-1.252320,0.002977,0.010035,-0.007721,2.353188
2020-10-13-16-03-09-759,-1778.320532,-2370.699453,15.948260,1.238101,-1.255680,0.007268,0.010056,-0.007695,2.353215
2020-10-13-16-03-09-769,-1778.308279,-2370.712030,15.948343,1.241843,-1.258164,0.007110,0.009784,-0.007684,2.353238
2020-10-13-16-03-09-779,-1778.295999,-2370.724645,15.948386,1.244158,-1.261524,0.003194,0.009492,-0.007655,2.353268
2020-10-13-16-03-09-789,-1778.283806,-2370.737319,15.948412,1.246997,-1.266319,-0.000761,0.009845,-0.007716,2.353303
2020-10-13-16-03-09-799,-1778.271462,-2370.750008,15.948454,1.250198,-1.269502,0.001782,0.010076,-0.007751,2.353321
2020-10-13-16-03-09-809,-1778.259087,-2370.762708,15.948534,1.253528,-1.270789,0.006471,0.010020,-0.007712,2.353348
2020-10-13-16-03-09-819,-1778.246691,-2370.775438,15.948607,1.255322,-1.272834,0.006952,0.009681,-0.007688,2.353380
2020-10-13-16-03-09-829,-1778.234268,-2370.788215,15.948657,1.257693,-1.277308,0.004729,0.009531,-0.007681,2.353413
2020-10-13-16-03-09-839,-1778.221910,-2370.801033,15.948715,1.261844,-1.280692,0.002977,0.009769,-0.007688,2.353415
2020-10-13-16-03-09-849,-1778.209431,-2370.813857,15.948769,1.263527,-1.283042,0.003329,0.009825,-0.007681,2.353439
2020-10-13-16-03-09-859,-1778.196931,-2370.826715,15.948845,1.264926,-1.285925,0.005643,0.009949,-0.007695,2.353463
2020-10-13-16-03-09-869,-1778.184388,-2370.839605,15.948956,1.268325,-1.288943,0.009333,0.010055,-0.007720,2.353471
2020-10-13-16-03-09-880,-1778.171925,-2370.852541,15.949098,1.272370,-1.292482,0.011391,0.009816,-0.007609,2.353506
2020-10-13-16-03-09-890,-1778.159336,-2370.865488,15.949194,1.274264,-1.295419,0.008677,0.009742,-0.007635,2.353528
2020-10-13-16-03-09-900,-1778.146720,-2370.878478,15.949300,1.276065,-1.299143,0.008709,0.009890,-0.007653,2.353538
2020-10-13-16-03-09-910,-1778.134194,-2370.891500,15.949456,1.278531,-1.301762,0.011725,0.010059,-0.007645,2.353565
2020-10-13-16-03-09-920,-1778.121523,-2370.904539,15.949595,1.281662,-1.304437,0.012883,0.010058,-0.007595,2.353602
2020-10-13-16-03-09-930,-1778.108821,-2370.917614,15.949744,1.284487,-1.307606,0.013805,0.010096,-0.007628,2.353621
2020-10-13-16-03-09-940,-1778.096096,-2370.930715,15.949912,1.286675,-1.310280,0.015600,0.010138,-0.007692,2.353625
2020-10-13-16-03-09-950,-1778.083365,-2370.943836,15.950082,1.287953,-1.312952,0.016234,0.010137,-0.007627,2.353656
2020-10-13-16-03-09-960,-1778.070708,-2370.957009,15.950228,1.290341,-1.316348,0.012439,0.010159,-0.007645,2.353704
2020-10-13-16-03-09-970,-1778.057914,-2370.970205,15.950382,1.292917,-1.319896,0.013209,0.010325,-0.007674,2.353724
2020-10-13-16-03-09-980,-1778.045094,-2370.983426,15.950553,1.295726,-1.322623,0.015256,0.010453,-0.007680,2.353751
2020-10-13-16-03-09-990,-1778.032243,-2370.996668,15.950720,1.298708,-1.324762,0.015618,0.010430,-0.007690,2.353780
2020-10-13-16-03-10-000,-1778.019488,-2371.009959,15.950884,1.300528,-1.328345,0.013742,0.010338,-0.007663,2.353804
2020-10-13-16-03-10-009,-1778.006589,-2371.023271,15.951021,1.303315,-1.331846,0.011844,0.010368,-0.007676,2.353832
2020-10-13-16-03-10-019,-1777.993657,-2371.036618,15.951135,1.306719,-1.335475,0.009419,0.010539,-0.007644,2.353867
2020-10-13-16-03-10-029,-1777.980799,-2371.049996,15.951274,1.310302,-1.337495,0.009863,0.010624,-0.007677,2.353900
2020-10-13-16-03-10-039,-1777.967925,-2371.063337,15.951346,1.312928,-1.340856,0.009013,0.010551,-0.007662,2.353934
2020-10-13-16-03-10-049,-1777.954958,-2371.076722,15.951392,1.316033,-1.344128,0.005893,0.010512,-0.007637,2.353969
2020-10-13-16-03-10-059,-1777.941954,-2371.090135,15.951406,1.319901,-1.347182,0.002257,0.010604,-0.007631,2.354002
2020-10-13-16-03-10-069,-1777.928911,-2371.103580,15.951414,1.323598,-1.350021,0.000874,0.010769,-0.007635,2.354042
2020-10-13-16-03-10-079,-1777.915953,-2371.117018,15.951421,1.325008,-1.351415,0.001712,0.010780,-0.007633,2.354093
2020-10-13-16-03-10-089,-1777.902867,-2371.130499,15.951419,1.327885,-1.353507,0.001081,0.010836,-0.007622,2.354126
2020-10-13-16-03-10-099,-1777.889733,-2371.144012,15.951421,1.331578,-1.355699,0.001397,0.010829,-0.007623,2.354163
2020-10-13-16-03-10-109,-1777.876583,-2371.157551,15.951409,1.334259,-1.358779,0.000472,0.010764,-0.007612,2.354194
